2,85,24108,-68
1,85,24119,-63
4,85,24141,-62
3,87,24258,-60
2,87,24268,-68
1,87,24281,-63
4,87,24301,-61
3,89,24416,-60
2,88,24427,-68
1,88,24444,-63
4,89,24461,-62
3,90,24575,-64
2,90,24581,-71
1,90,24599,-62
4,90,24621,-62
3,92,24729,-64
2,91,24744,-70
1,92,24756,-62
4,92,24778,-63
3,93,24885,-64
2,93,24905,-70
1,93,24916,-62
4,93,24934,-62
3,95,25046,-62
2,95,25062,-69
1,95,25074,-59
4,95,25095,-66
3,97,25205,-62
2,96,25218,-69
1,96,25229,-59
4,97,25254,-67
3,98,25367,-62
2,98,25375,-69
1,98,25391,-58
4,98,25408,-66
3,100,25524,-60
2,99,25534,-69
1,100,25549,-63
4,100,25564,-62
3,101,25687,-60
2,101,25690,-69
1,101,25707,-63
4,101,25723,-62
1,103,25867,-63
4,103,25878,-62
3,105,26005,-60
2,104,26010,-70
1,104,26029,-63
4,104,26034,-63
3,106,26161,-64
2,106,26167,-70
1,106,26189,-63
4,106,26191,-62
3,108,26322,-64
2,107,26329,-70
1,108,26350,-63
4,108,26352,-62
3,109,26477,-64
2,109,26493,-70
1,109,26505,-63
3,111,26635,-62
2,111,26650,-69
1,111,26660,-58
4,111,26670,-67
3,112,26792,-62
2,112,26813,-68
1,112,26823,-58
4,112,26832,-67
3,114,26953,-62
2,114,26972,-69
1,114,26980,-59
4,114,26988,-67
3,116,27113,-60
2,115,27128,-69
1,115,27137,-63
4,116,27151,-62
3,117,27272,-60
2,117,27287,-68
1,117,27301,-63
4,117,27310,-62
3,119,27426,-60
2,118,27448,-69
1,119,27459,-63
4,119,27473,-61
3,120,27587,-64
2,120,27603,-70
1,120,27619,-63
4,120,27630,-62
3,122,27748,-64
2,122,27761,-70
1,122,27778,-63
4,122,27785,-62
3,124,27911,-64
2,123,27918,-70
1,123,27932,-63
4,123,27941,-62
3,125,28073,-62
2,125,28075,-69
1,125,28085,-58
4,125,28100,-67
3,127,28233,-62
2,126,28238,-68
1,126,28243,-59
4,127,28256,-67
3,128,28387,-62
2,128,28397,-69
1,128,28404,-59
4,128,28419,-67
3,130,28550,-60
2,130,28555,-68
1,130,28559,-63
4,130,28582,-62
3,132,28707,-60
2,131,28715,-68
1,131,28722,-63
4,131,28742,-62
3,133,28861,-60
2,133,28869,-68
1,133,28885,-63
4,133,28897,-62
3,135,29020,-64
2,134,29033,-70
1,134,29047,-63
4,135,29055,-62
3,136,29183,-64
2,136,29189,-70
1,136,29202,-63
4,136,29216,-63
3,138,29343,-64
2,137,29345,-70
1,138,29357,-63
4,138,29376,-62
3,139,29498,-64
2,139,29503,-70
1,139,29513,-58
4,139,29530,-67
3,141,29656,-62
2,141,29658,-69
1,141,29673,-58
4,141,29693,-67
3,143,29811,-62
2,142,29814,-69
1,142,29834,-59
4,143,29848,-67
3,144,29966,-62
2,144,29968,-69
1,144,29992,-59
4,144,30006,-68
3,146,30121,-60
2,145,30124,-68
1,146,30153,-63
4,146,30162,-61
2,147,30279,-68
3,147,30283,-60
1,147,30316,-63
4,147,30320,-62
3,149,30439,-60
2,148,30441,-68
1,149,30476,-63
4,149,30479,-61
3,150,30597,-64
2,150,30604,-70
4,150,30637,-62
1,150,30640,-63
3,152,30757,-64
2,152,30762,-70
1,152,30798,-63
4,152,30800,-62
3,154,30916,-64
2,153,30922,-70
4,154,30959,-62
1,154,30961,-63
3,155,31077,-62
2,155,31079,-69
4,155,31114,-67
3,157,31235,-62
2,156,31237,-69
4,157,31269,-67
1,157,31271,-58
3,158,31391,-62
2,158,31400,-69
4,158,31428,-68
1,158,31430,-58
3,160,31554,-60
2,160,31556,-68
4,160,31591,-62
3,162,31711,-60
2,161,31719,-68
1,161,31740,-63
4,162,31749,-61
3,163,31870,-60
2,163,31875,-68
1,163,31894,-63
4,163,31908,-61
3,165,32029,-64
2,164,32031,-70
1,165,32051,-62
4,165,32063,-62
3,166,32184,-64
2,166,32187,-70
