5,108,48771,-53,80
1,96,48774,-52,80
6,185,48776,-49,80
3,0,48803,-50,80
7,162,48811,-52,80
8,206,48834,-49,80
2,7,48839,-50,80
4,49,48869,-53,80
5,109,48872,-53,80
6,186,48875,-48,80
3,1,48899,-50,80
7,163,48906,-52,80
8,207,48927,-49,80
2,8,48940,-50,80
4,50,48963,-53,80
5,110,48965,-53,80
1,98,48972,-52,80
6,187,48977,-49,80
3,2,49002,-50,80
7,164,49009,-52,2
8,208,49024,-43,2
2,9,49042,-44,2
5,111,49071,-49,2
6,188,49076,-44,2
3,3,49103,-43,2
7,165,49111,-45,2
8,209,49128,-43,2
2,10,49136,-44,2
5,112,49163,-49,2
4,52,49166,-47,2
1,100,49176,-47,2
6,189,49178,-44,2
3,4,49197,-43,2
7,166,49212,-45,2
8,210,49230,-43,2
2,11,49237,-44,2
4,53,49263,-47,2
5,113,49271,-49,2
1,101,49274,-47,2
6,190,49278,-44,2
3,5,49295,-43,2
7,167,49310,-45,2
8,211,49325,-43,2
2,12,49339,-44,2
5,114,49367,-49,2
4,54,49369,-47,2
1,102,49371,-47,2
6,191,49378,-44,2
3,6,49402,-43,2
7,168,49408,-45,2
8,212,49424,-42,2
2,13,49435,-44,2
5,115,49464,-49,2
4,55,49467,-47,2
1,103,49469,-47,2
6,192,49473,-44,2
3,7,49494,-43,2
7,169,49505,-45,2
8,213,49527,-42,26
2,14,49537,-43,26
1,104,49568,-46,26
5,116,49570,-48,26
4,56,49572,-45,26
6,193,49580,-42,26
3,8,49596,-42,26
7,170,49612,-45,26
8,214,49629,-42,26
2,15,49638,-43,26
5,117,49664,-48,26
4,57,49666,-45,26
1,105,49670,-46,26
6,194,49672,-42,26
3,9,49704,-42,26
8,215,49728,-42,26
2,16,49744,-43,26
5,118,49766,-48,26
4,58,49768,-45,26
6,195,49772,-42,26
3,10,49801,-42,26
7,172,49805,-45,26
8,216,49826,-42,26
2,17,49835,-43,26
4,59,49864,-45,26
5,119,49868,-48,26
1,107,49871,-46,26
6,196,49880,-42,26
3,11,49902,-42,26
7,173,49906,-45,26
8,217,49934,-42,26
2,18,49943,-43,26
4,60,49965,-45,26
5,120,49970,-48,26
1,108,49977,-46,26
6,197,49980,-42,26
3,12,50003,-42,26
7,174,50010,-52,80
8,218,50034,-49,80
2,19,50037,-50,80
4,61,50068,-53,80
1,109,50071,-52,80
5,121,50074,-53,80
6,198,50076,-49,80
3,13,50105,-50,80
7,175,50107,-52,80
8,219,50125,-48,80
2,20,50145,-50,80
5,122,50164,-53,80
4,62,50170,-53,80
1,110,50172,-52,80
6,199,50176,-49,80
3,14,50205,-50,80
7,176,50212,-52,80
8,220,50227,-49,80
2,21,50238,-50,80
4,63,50265,-53,80
5,123,50267,-53,80
1,111,50270,-52,80
6,200,50273,-49,80
3,15,50296,-50,80
7,177,50311,-52,80
8,221,50330,-49,80
2,22,50345,-50,80
4,64,50363,-53,80
5,124,50367,-53,80
1,112,50374,-52,80
6,201,50376,-48,80
3,16,50397,-50,80
7,178,50406,-52,80
8,222,50429,-49,80
2,23,50440,-50,80
5,125,50464,-53,80
4,65,50466,-53,80
6,202,50473,-49,80
1,113,50477,-52,80
3,17,50501,-50,80
7,179,50506,-52,80
8,223,50525,-43,2
2,24,50543,-44,2
4,66,50563,-47,2
5,126,50569,-49,2
6,203,50571,-44,2
1,114,50574,-47,2
3,18,50602,-43,2
7,180,50605,-45,2
8,224,50625,-43,2
2,25,50636,-44,2
5,127,50666,-49,2
1,115,50669,-47,2
6,204,50677,-44,2
3,19,50702,-43,2
7,181,50705,-45,2
8,225,50726,-43,2
2,26,50741,-44,2
4,68,50765,-47,2
1,116,50767,-47,2
6,205,50773,-44,2
3,20,50795,-43,2
7,182,50809,-45,2
8,226,50830,-43,2
2,27,50840,-44,2
5,129,50868,-49,2
4,69,50871,-47,2
